"data.city","data.id","data.devices","data.functionality","data.latitude","data.longitude","data.streetAddress","data.storeType","data.zip"
"Doetinchem","7008001","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Doetinchem"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""911875"", latitude = 51.970304, location = ""7008001"", longitude = 6.272471, openingHours = list(tu = list(""07:00-22:00""), mo = list(""07:00-22:00""), su = list(""09:00-20:00""), th = list(""07:00-22:00""), fr = list(""07:00-22:00""), we = list(""07:00-22:00""), sa = list(""07:00-22:00"")), storeType = ""albertheijn"", streetAddress = ""Zaagmolenpad 16"", withdrawableDenominations = list(
    ""none""), zip = ""7008AJ"")","Geldautomaat",51.970304,6.272471,"Zaagmolenpad 16","albertheijn","7008AJ"
"Leeuwarden","8911002","list(deviceState = ""Available"", audioGuidance = FALSE, city = ""Leeuwarden"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""912367"", latitude = 53.200765, location = ""8911002"", longitude = 5.795919, openingHours = list(tu = list(c(""00:00-01:59"", ""07:00-23:59"")), mo = list(c(""00:00-01:59"", ""07:00-23:59"")), su = list(c(""00:00-01:59"", ""07:00-23:59"")), th = list(c(""00:00-01:59"", ""07:00-23:59"")), fr = list(c(""00:00-01:59"", ""07:00-23:59"")), we = list(c(""00:00-01:59"", 
""07:00-23:59"")), sa = list(c(""00:00-01:59"", ""07:00-23:59""))), storeType = ""n/a"", streetAddress = ""Nieuwestad 148"", withdrawableDenominations = list(""EUR5""), zip = ""8911DB"")","Geldautomaat",53.200765,5.795919,"Nieuwestad 148","n/a","8911DB"
"Amsterdam","1024004","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = TRUE, functionality = ""Geld storten en opnemen"", geldmaatPlus = TRUE, id = ""811469"", latitude = 52.392379, location = ""1024004"", longitude = 4.954748, openingHours = list(tu = list(""09:00-18:00""), mo = list(""09:00-18:00""), su = list(""00:00-00:00""), th = list(""09:00-18:00""), fr = list(""09:00-18:00""), we = list(""09:00-18:00""), sa = list(""09:00-17:30"")), storeType = ""primera"", streetAddress = ""Waterlandplein 260"", 
    withdrawableDenominations = list(""none""), zip = ""1024NB"")","Geld storten en opnemen",52.392379,4.954748,"Waterlandplein 260","primera","1024NB"
"Ijmuiden","1974001","list(deviceState = ""Available"", audioGuidance = FALSE, city = ""Ijmuiden"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""910919"", latitude = 52.44942, location = ""1974001"", longitude = 4.59368, openingHours = list(tu = list(""07:00-23:00""), mo = list(""07:00-23:00""), su = list(""07:00-23:00""), th = list(""07:00-23:00""), fr = list(""07:00-23:00""), we = list(""07:00-23:00""), sa = list(""07:00-23:00"")), storeType = ""n/a"", streetAddress = ""Zeewijkplein 121"", withdrawableDenominations = list(
    ""none""), zip = ""1974PV"")","Geldautomaat",52.44942,4.59368,"Zeewijkplein 121","n/a","1974PV"
"Kerkrade","6466003","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Kerkrade"", depositStatus = TRUE, functionality = ""Geld storten en opnemen"", geldmaatPlus = FALSE, id = ""810056"", latitude = 50.85719, location = ""6466003"", longitude = 6.02651, openingHours = list(tu = list(""08:00-20:00""), mo = list(""08:00-20:00""), su = list(""11:00-18:00""), th = list(""08:00-20:00""), fr = list(""08:00-20:00""), we = list(""08:00-20:00""), sa = list(""08:00-20:00"")), storeType = ""n/a"", streetAddress = ""Carboonplein 1"", withdrawableDenominations = list(
    ""none""), zip = ""6466CX"")","Geld storten en opnemen",50.85719,6.02651,"Carboonplein 1","n/a","6466CX"
"Almere","1317001","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Almere"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""910676"", latitude = 52.389104, location = ""1317001"", longitude = 5.231791, openingHours = list(tu = list(""07:00-22:00""), mo = list(""07:00-22:00""), su = list(""08:00-22:00""), th = list(""07:00-22:00""), fr = list(""07:00-22:00""), we = list(""07:00-22:00""), sa = list(""07:00-22:00"")), storeType = ""albertheijn"", streetAddress = ""Botplein 15"", withdrawableDenominations = list(
    ""none""), zip = ""1317SK"")","Geldautomaat",52.389104,5.231791,"Botplein 15","albertheijn","1317SK"
"Zwijndrecht","3332006","list(deviceState = c(""Available"", ""Available"", ""Available""), audioGuidance = c(FALSE, TRUE, FALSE), city = c(""Zwijndrecht"", ""Zwijndrecht"", ""Zwijndrecht""), depositStatus = c(FALSE, TRUE, FALSE), functionality = c(""Sealbag-automaat"", ""Geld storten en opnemen"", ""Geldautomaat""), geldmaatPlus = c(FALSE, FALSE, FALSE), id = c(""610711"", ""811220"", ""913265""), latitude = c(51.823425, 51.823425, 51.823425), location = c(""3332006"", ""3332006"", ""3332006""), longitude = c(4.653913, 4.653913, 4.653913), openingHours = list(
    tu = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), mo = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), su = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), th = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), fr = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), we = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), sa = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00"")), storeType = c(""n/a"", ""n/a"", ""n/a""), streetAddress = c(""Beneluxlaan 52"", ""Beneluxlaan 52"", ""Beneluxlaan 52""
), withdrawableDenominations = list(""none"", ""none"", ""none""), zip = c(""3332EB"", ""3332EB"", ""3332EB""))","c(""Geldautomaat"", ""Geld storten en opnemen"", ""Sealbag-automaat"")",51.823425,4.653913,"Beneluxlaan 52","n/a","3332EB"
"Nijmegen","6511001","list(deviceState = c(""Unavailable"", ""Available"", ""Available""), audioGuidance = c(TRUE, FALSE, TRUE), city = c(""Nijmegen"", ""NIJMEGEN"", ""Nijmegen""), depositStatus = c(FALSE, FALSE, TRUE), functionality = c(""Geld storten en opnemen"", ""Geldautomaat"", ""Geld storten en opnemen""), geldmaatPlus = c(FALSE, FALSE, FALSE), id = c(""811888"", ""914006"", ""811840""), latitude = c(51.844298, 51.844298, 51.844298), location = c(""6511001"", ""6511001"", ""6511001""), longitude = c(5.862677, 5.862677, 5.862677), openingHours = list(
    tu = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), mo = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), su = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), th = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), fr = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), we = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), sa = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00"")), storeType = c(""n/a"", ""n/a"", ""n/a""), streetAddress = c(""Molenstraat 43B"", ""MOLENSTRAAT 43B"", ""Molenstraat 43B""
), withdrawableDenominations = list(""none"", ""none"", ""none""), zip = c(""6511HA"", ""6511HA"", ""6511HA""))","c(""Geld storten en opnemen"", ""Geldautomaat"")",51.844298,5.862677,"Molenstraat 43B","n/a","6511HA"
"Eindhoven","5611018","list(deviceState = c(""Available"", ""Unavailable"", ""Available"", ""Available"", ""Available""), audioGuidance = c(TRUE, TRUE, TRUE, TRUE, TRUE), city = c(""Eindhoven"", ""Eindhoven"", ""Eindhoven"", ""Eindhoven"", ""Eindhoven""), depositStatus = c(TRUE, TRUE, TRUE, TRUE, TRUE), functionality = c(""Geld storten en opnemen"", ""Geld storten en opnemen"", ""Geld storten en opnemen"", ""Geld storten en opnemen"", ""Geld storten en opnemen""), geldmaatPlus = c(FALSE, FALSE, FALSE, FALSE, FALSE), id = c(""813073"", ""813071"", ""813070"", 
""813069"", ""813072""), latitude = c(51.437618, 51.437618, 51.437618, 51.437618, 51.437618), location = c(""5611018"", ""5611018"", ""5611018"", ""5611018"", ""5611018""), longitude = c(5.479148, 5.479148, 5.479148, 5.479148, 5.479148), openingHours = list(tu = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), mo = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), su = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), 
    th = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), fr = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), we = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), sa = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"")), storeType = c(""generic"", ""generic"", ""generic"", ""geldmaat"", ""generic""), streetAddress = c(""Rechtestraat 56"", ""Rechtestraat 56"", ""Rechtestraat 56"", ""Rechtestraat 56"", 
""Rechtestraat 56""), withdrawableDenominations = list(""none"", ""none"", ""none"", ""none"", ""none""), zip = c(""5611GR"", ""5611GR"", ""5611GR"", ""5611GR"", ""5611GR""))","Geld storten en opnemen",51.437618,5.479148,"Rechtestraat 56","geldmaat","5611GR"
"Maasbommel","6627001","list(deviceState = ""Available"", audioGuidance = FALSE, city = ""Maasbommel"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""911070"", latitude = 51.820639, location = ""6627001"", longitude = 5.534998, openingHours = list(tu = list(""07:00-23:00""), mo = list(""07:00-23:00""), su = list(""07:00-23:00""), th = list(""07:00-23:00""), fr = list(""07:00-23:00""), we = list(""07:00-23:00""), sa = list(""07:00-23:00"")), storeType = ""n/a"", streetAddress = ""Kerkstraat 2A"", withdrawableDenominations = list(
    ""none""), zip = ""6627AL"")","Geldautomaat",51.820639,5.534998,"Kerkstraat 2A","n/a","6627AL"
