"ID","data.city","data.id","data.devices","data.functionality","data.latitude","data.longitude","data.streetAddress","data.storeType","data.zip"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012014","list(deviceState = c(""Unavailable"", ""Available""), audioGuidance = c(TRUE, TRUE), city = c(""Amsterdam"", ""Amsterdam""), depositStatus = c(FALSE, TRUE), functionality = c(""Geld storten en opnemen"", ""Geld storten en opnemen""), geldmaatPlus = c(FALSE, FALSE), id = c(""812450"", ""812469""), latitude = c(52.367128, 52.367128), location = c(""1012014"", ""1012014""), longitude = c(4.891356, 4.891356), openingHours = list(tu = list(""07:00-23:00"", ""07:00-23:00""), mo = list(""07:00-23:00"", ""07:00-23:00""), su = list(
    ""07:00-23:00"", ""07:00-23:00""), th = list(""07:00-23:00"", ""07:00-23:00""), fr = list(""07:00-23:00"", ""07:00-23:00""), we = list(""07:00-23:00"", ""07:00-23:00""), sa = list(""07:00-23:00"", ""07:00-23:00"")), storeType = c(""n/a"", ""n/a""), streetAddress = c(""Singel 429"", ""Singel 429""), withdrawableDenominations = list(""none"", ""none""), zip = c(""1012WP"", ""1012WP""))","Geld storten en opnemen",52.367128,4.891356,"Singel 429","n/a","1012WP"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012015","list(deviceState = c(""Available"", ""Available""), audioGuidance = c(FALSE, FALSE), city = c(""Amsterdam"", ""Amsterdam""), depositStatus = c(FALSE, FALSE), functionality = c(""Sealbag-automaat"", ""Geldautomaat""), geldmaatPlus = c(FALSE, FALSE), id = c(""611463"", ""914867""), latitude = c(52.367304, 52.367304), location = c(""1012015"", ""1012015""), longitude = c(4.893108, 4.893108), openingHours = list(tu = list(""07:00-22:00"", ""07:00-22:00""), mo = list(""07:00-22:00"", ""07:00-22:00""), su = list(""07:00-22:00"", ""07:00-22:00""), 
    th = list(""07:00-22:00"", ""07:00-22:00""), fr = list(""07:00-22:00"", ""07:00-22:00""), we = list(""07:00-22:00"", ""07:00-22:00""), sa = list(""07:00-22:00"", ""07:00-22:00"")), storeType = c(""generic"", ""generic""), streetAddress = c(""Muntplein 4"", ""Muntplein 4""), withdrawableDenominations = list(""none"", ""EUR5""), zip = c(""1012WR"", ""1012WR""))","c(""Geldautomaat"", ""Sealbag-automaat"")",52.367304,4.893108,"Muntplein 4","generic","1012WR"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012017","list(deviceState = c(""Available"", ""Available"", ""Available"", ""Unavailable""), audioGuidance = c(TRUE, TRUE, TRUE, TRUE), city = c(""Amsterdam"", ""Amsterdam"", ""Amsterdam"", ""Amsterdam""), depositStatus = c(TRUE, TRUE, TRUE, FALSE), functionality = c(""Geld storten en opnemen"", ""Geld storten en opnemen"", ""Geld storten en opnemen"", ""Geld storten en opnemen""), geldmaatPlus = c(FALSE, FALSE, FALSE, FALSE), id = c(""812969"", ""812971"", ""812972"", ""812970""), latitude = c(52.367304, 52.367304, 52.367304, 52.367304
), location = c(""1012017"", ""1012017"", ""1012017"", ""1012017""), longitude = c(4.893108, 4.893108, 4.893108, 4.893108), openingHours = list(tu = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), mo = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), su = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), th = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), fr = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), we = list(
    ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00""), sa = list(""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"", ""07:00-22:00"")), storeType = c(""geldmaat"", ""generic"", ""generic"", ""generic""), streetAddress = c(""Muntplein 4"", ""Muntplein 4"", ""Muntplein 4"", ""Muntplein 4""), withdrawableDenominations = list(""none"", ""none"", ""none"", ""none""), zip = c(""1012WR"", ""1012WR"", ""1012WR"", ""1012WR""))","Geld storten en opnemen",52.367304,4.893108,"Muntplein 4","geldmaat","1012WR"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012018","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""914888"", latitude = 52.374968, location = ""1012018"", longitude = 4.898369, openingHours = list(tu = list(""10:00-22:00""), mo = list(""10:00-22:00""), su = list(""10:00-22:00""), th = list(""10:00-22:00""), fr = list(""10:00-22:00""), we = list(""10:00-22:00""), sa = list(""10:00-22:00"")), storeType = ""n/a"", streetAddress = ""Lange Niezel 10HS"", withdrawableDenominations = list(
    ""none""), zip = ""1012GT"")","Geldautomaat",52.374968,4.898369,"Lange Niezel 10HS","n/a","1012GT"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1013001","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""912155"", latitude = 52.381647, location = ""1013001"", longitude = 4.888784, openingHours = list(tu = list(""08:00-22:00""), mo = list(""08:00-22:00""), su = list(""08:00-22:00""), th = list(""08:00-22:00""), fr = list(""08:00-22:00""), we = list(""08:00-22:00""), sa = list(""08:00-22:00"")), storeType = ""albertheijn"", streetAddress = ""Haarlemmerdijk 1"", withdrawableDenominations = list(
    ""none""), zip = ""1013JZ"")","Geldautomaat",52.381647,4.888784,"Haarlemmerdijk 1","albertheijn","1013JZ"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1013002","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""910132"", latitude = 52.391659, location = ""1013002"", longitude = 4.877775, openingHours = list(tu = list(""08:00-22:00""), mo = list(""08:00-22:00""), su = list(""08:00-22:00""), th = list(""08:00-22:00""), fr = list(""08:00-22:00""), we = list(""08:00-22:00""), sa = list(""08:00-22:00"")), storeType = ""albertheijn"", streetAddress = ""Spaarndammerdijk 3"", withdrawableDenominations = list(
    ""none""), zip = ""1013ZM"")","Geldautomaat",52.391659,4.877775,"Spaarndammerdijk 3","albertheijn","1013ZM"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1013003","list(deviceState = c(""Available"", ""Available""), audioGuidance = c(TRUE, TRUE), city = c(""Amsterdam"", ""Amsterdam""), depositStatus = c(TRUE, TRUE), functionality = c(""Geld storten en opnemen"", ""Geld storten en opnemen""), geldmaatPlus = c(FALSE, FALSE), id = c(""811960"", ""813033""), latitude = c(52.384266, 52.384266), location = c(""1013003"", ""1013003""), longitude = c(4.88457, 4.88457), openingHours = list(tu = list(""07:00-23:00"", ""07:00-23:00""), mo = list(""07:00-23:00"", ""07:00-23:00""), su = list(""07:00-23:00"", 
    ""07:00-23:00""), th = list(""07:00-23:00"", ""07:00-23:00""), fr = list(""07:00-23:00"", ""07:00-23:00""), we = list(""07:00-23:00"", ""07:00-23:00""), sa = list(""07:00-23:00"", ""07:00-23:00"")), storeType = c(""n/a"", ""n/a""), streetAddress = c(""Haarlemerdijk 190"", ""Haarlemmerdijk 190""), withdrawableDenominations = list(""none"", ""none""), zip = c(""1013JK"", ""1013HS""))","Geld storten en opnemen",52.384266,4.88457,"Haarlemerdijk 190","n/a","1013JK"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1015001","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = TRUE, functionality = ""Geld storten en opnemen"", geldmaatPlus = FALSE, id = ""811741"", latitude = 52.37838, location = ""1015001"", longitude = 4.88451, openingHours = list(tu = list(""07:00-23:00""), mo = list(""07:00-23:00""), su = list(""07:00-23:00""), th = list(""07:00-23:00""), fr = list(""07:00-23:00""), we = list(""07:00-23:00""), sa = list(""07:00-23:00"")), storeType = ""n/a"", streetAddress = ""Westerstraat 75"", withdrawableDenominations = list(
    ""none""), zip = ""1015LW"")","Geld storten en opnemen",52.37838,4.88451,"Westerstraat 75","n/a","1015LW"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1015002","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""910122"", latitude = 52.37851, location = ""1015002"", longitude = 4.884289, openingHours = list(tu = list(""08:00-22:00""), mo = list(""08:00-22:00""), su = list(""08:00-22:00""), th = list(""08:00-22:00""), fr = list(""08:00-22:00""), we = list(""08:00-22:00""), sa = list(""08:00-22:00"")), storeType = ""albertheijn"", streetAddress = ""Westerstraat 79"", withdrawableDenominations = list(
    ""none""), zip = ""1015LW"")","Geldautomaat",52.37851,4.884289,"Westerstraat 79","albertheijn","1015LW"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1015003","list(deviceState = ""Available"", audioGuidance = FALSE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""910118"", latitude = 52.378753, location = ""1015003"", longitude = 4.886068, openingHours = list(tu = list(""07:00-23:00""), mo = list(""07:00-23:00""), su = list(""07:00-23:00""), th = list(""07:00-23:00""), fr = list(""07:00-23:00""), we = list(""07:00-23:00""), sa = list(""07:00-23:00"")), storeType = ""n/a"", streetAddress = ""Westerstraat 9"", withdrawableDenominations = list(
    ""none""), zip = ""1015LT"")","Geldautomaat",52.378753,4.886068,"Westerstraat 9","n/a","1015LT"
